5/11/2017 12:11:22 AM	Stock1	100	3675/11/2017 12:13:41 AM	Stock2	10	26
5/11/2017 12:13:41 AM	Stock2	10	27
5/11/2017 12:13:42 AM	Stock2	10	29
5/11/2017 12:13:42 AM	Stock2	10	30
5/11/2017 12:13:43 AM	Stock1	100	150
5/11/2017 12:13:43 AM	Stock2	10	33
5/11/2017 12:13:44 AM	Stock1	100	154
5/11/2017 12:13:44 AM	Stock2	10	33
5/11/2017 12:13:44 AM	Stock3	1000	1063
5/11/2017 12:13:44 AM	Stock2	10	37
5/11/2017 12:13:45 AM	Stock1	100	165
5/11/2017 12:13:45 AM	Stock2	10	38
5/11/2017 12:13:45 AM	Stock1	100	166
5/11/2017 12:13:45 AM	Stock2	10	38
5/11/2017 12:13:46 AM	Stock3	1000	1071
5/11/2017 12:13:46 AM	Stock2	10	40
5/11/2017 12:13:46 AM	Stock1	100	180
5/11/2017 12:13:47 AM	Stock2	10	44
5/11/2017 12:13:47 AM	Stock1	100	186
5/11/2017 12:13:47 AM	Stock2	10	47
5/11/2017 12:13:48 AM	Stock1	100	193
5/11/2017 12:13:48 AM	Stock2	10	50
5/11/2017 12:13:48 AM	Stock3	1000	1093
5/11/2017 12:13:48 AM	Stock1	100	193
5/11/2017 12:13:48 AM	Stock2	10	50
5/11/2017 12:13:49 AM	Stock3	1000	1097
5/11/2017 12:13:49 AM	Stock1	100	197
5/11/2017 12:13:49 AM	Stock2	10	52
5/11/2017 12:13:49 AM	Stock3	1000	1100
5/11/2017 12:13:49 AM	Stock1	100	200
5/11/2017 12:13:49 AM	Stock2	10	53
5/11/2017 12:13:50 AM	Stock3	1000	1101
5/11/2017 12:13:50 AM	Stock2	10	53
5/11/2017 12:13:50 AM	Stock3	1000	1107
5/11/2017 12:13:50 AM	Stock2	10	56
5/11/2017 12:13:51 AM	Stock1	100	210
5/11/2017 12:13:51 AM	Stock2	10	57
5/11/2017 12:13:51 AM	Stock3	1000	1110
5/11/2017 12:13:51 AM	Stock1	100	210
5/11/2017 12:13:51 AM	Stock2	10	57
5/11/2017 12:13:52 AM	Stock3	1000	1117
5/11/2017 12:13:52 AM	Stock1	100	217
5/11/2017 12:13:52 AM	Stock2	10	60
5/11/2017 12:13:52 AM	Stock3	1000	1125
5/11/2017 12:13:52 AM	Stock1	100	225
5/11/2017 12:13:52 AM	Stock2	10	64
5/11/2017 12:13:53 AM	Stock3	1000	1130
5/11/2017 12:13:53 AM	Stock1	100	230
5/11/2017 12:13:53 AM	Stock2	10	66
5/11/2017 12:13:53 AM	Stock3	1000	1130
5/11/2017 12:13:53 AM	Stock1	100	230
5/11/2017 12:13:53 AM	Stock2	10	66
5/11/2017 12:13:54 AM	Stock3	1000	1131
5/11/2017 12:13:54 AM	Stock1	100	231
5/11/2017 12:13:54 AM	Stock2	10	66
5/11/2017 12:13:54 AM	Stock3	1000	1138
5/11/2017 12:13:54 AM	Stock1	100	238
5/11/2017 12:13:54 AM	Stock2	10	69
5/11/2017 12:13:55 AM	Stock3	1000	1146
5/11/2017 12:13:55 AM	Stock2	10	73
5/11/2017 12:13:55 AM	Stock1	100	255
5/11/2017 12:13:55 AM	Stock2	10	77
5/11/2017 12:13:56 AM	Stock3	1000	1158
5/11/2017 12:13:56 AM	Stock2	10	78
5/11/2017 12:13:56 AM	Stock1	100	261
5/11/2017 12:13:56 AM	Stock2	10	79
5/11/2017 12:13:57 AM	Stock3	1000	1165
5/11/2017 12:13:57 AM	Stock1	100	265
5/11/2017 12:13:57 AM	Stock2	10	81
5/11/2017 12:13:57 AM	Stock3	1000	1168
5/11/2017 12:13:57 AM	Stock1	100	268
5/11/2017 12:13:57 AM	Stock2	10	82
5/11/2017 12:13:58 AM	Stock3	1000	1171
5/11/2017 12:13:58 AM	Stock2	10	83
5/11/2017 12:13:58 AM	Stock3	1000	1173
